FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-06,13,-99,1,1,-99,1,0,1,0,2,1,1,0,-99,1,-99,0,2,1,-99,0,1,0,1,0,-99,-99,1,2,-99,-99,0,1,-99
2024-01-06,14,-99,1,1,-99,1,0,1,0,1,1,1,1,-99,1,-99,1,2,2,-99,1,1,0,1,1,-99,-99,-99,2,-99,-99,0,1,-99
2024-01-06,15,-99,1,1,-99,1,0,1,0,1,1,1,1,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,0,-99
2024-01-06,16,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,-99,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
2024-01-06,17,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
2024-01-06,18,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,0,-99
2024-01-06,19,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,0,-99
2024-01-06,20,-99,1,1,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,3,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,1,0,-99
2024-01-06,21,-99,1,1,-99,1,-99,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,1,0,-99
2024-01-06,22,-99,1,1,-99,1,0,2,0,1,1,1,0,-99,1,-99,1,2,1,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,1,-99
2024-01-06,23,-99,1,1,-99,1,0,1,0,1,1,2,1,-99,1,-99,1,3,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,1,-99
