FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-05,15,-99,1,-99,-99,-99,0,0,7,-99,3,1,4,-99,4,-99,2,-99,-99,8,2,-99,-99,-99,0,3,4,-99,-99,1,4,1,-99,2,3,-99
2024-01-05,16,-99,2,-99,-99,-99,0,1,6,-99,3,2,4,-99,-99,-99,3,-99,-99,9,2,-99,-99,-99,0,4,2,-99,-99,1,5,3,-99,3,3,-99
2024-01-05,17,-99,3,-99,-99,-99,0,0,7,-99,3,1,6,-99,4,-99,2,-99,-99,3,3,-99,-99,-99,0,4,2,-99,-99,0,4,2,-99,3,2,-99
2024-01-05,18,-99,5,-99,-99,-99,0,0,8,-99,3,1,6,-99,3,-99,1,-99,-99,5,3,-99,-99,-99,0,3,4,-99,-99,1,6,4,-99,2,3,-99
2024-01-05,19,-99,2,-99,-99,-99,2,2,8,-99,4,1,19,-99,2,-99,1,-99,-99,8,4,-99,-99,-99,0,3,2,-99,-99,-99,9,4,-99,2,4,-99
2024-01-05,20,-99,1,-99,-99,-99,3,1,8,-99,10,3,34,-99,1,-99,2,-99,-99,13,11,-99,-99,-99,0,2,16,-99,-99,-99,13,5,-99,2,14,-99
2024-01-05,21,-99,0,-99,-99,-99,30,1,11,-99,8,4,42,-99,1,-99,2,-99,-99,14,27,-99,-99,-99,5,1,15,-99,-99,3,33,30,-99,1,23,-99
2024-01-05,22,-99,0,-99,-99,-99,20,0,11,-99,13,7,11,-99,8,-99,7,-99,-99,11,18,-99,-99,-99,4,1,17,-99,-99,2,14,19,-99,9,37,-99
2024-01-05,23,-99,0,-99,-99,-99,18,12,11,-99,5,6,48,-99,5,-99,15,-99,-99,59,33,-99,-99,-99,24,2,29,-99,-99,6,17,8,-99,32,64,-99
2024-01-05,24,-99,1,-99,-99,-99,6,27,22,-99,3,6,57,-99,31,-99,50,-99,-99,76,44,-99,-99,-99,13,2,20,-99,-99,6,54,14,-99,19,108,-99
2024-01-06,1,-99,1,-99,-99,-99,1,21,7,-99,1,11,20,-99,39,-99,74,-99,-99,97,60,-99,-99,-99,4,2,52,-99,-99,9,45,68,-99,23,95,-99
2024-01-06,2,-99,0,-99,-99,-99,72,3,2,-99,1,12,4,-99,74,-99,95,-99,-99,69,111,-99,-99,-99,3,1,66,-99,-99,2,5,2,-99,30,82,-99
2024-01-06,3,-99,0,-99,-99,-99,77,2,1,-99,1,13,5,-99,54,-99,59,-99,-99,39,109,-99,-99,-99,9,0,19,-99,-99,0,9,0,-99,27,76,-99
2024-01-06,4,-99,0,-99,-99,-99,62,9,1,-99,0,13,23,-99,58,-99,16,-99,-99,42,70,-99,-99,-99,28,1,38,-99,-99,0,10,1,-99,9,84,-99
2024-01-06,5,-99,2,-99,-99,-99,41,24,2,-99,0,15,20,-99,72,-99,6,-99,-99,33,98,-99,-99,-99,31,1,35,-99,-99,1,4,0,-99,1,72,-99
2024-01-06,6,-99,6,-99,-99,-99,66,31,2,-99,0,16,18,-99,53,-99,12,-99,-99,80,40,-99,-99,-99,20,1,29,-99,-99,1,1,1,-99,2,94,-99
2024-01-06,7,-99,1,-99,-99,-99,72,31,3,-99,1,6,38,-99,56,-99,32,-99,-99,164,62,-99,-99,-99,19,1,47,-99,-99,2,5,11,-99,11,65,-99
2024-01-06,8,-99,12,-99,-99,-99,217,39,9,-99,2,43,29,-99,110,-99,70,-99,-99,138,67,-99,-99,-99,34,3,117,-99,-99,6,28,37,-99,39,100,-99
2024-01-06,9,-99,21,-99,-99,-99,190,33,13,-99,4,64,29,-99,51,-99,46,-99,-99,93,25,-99,-99,-99,31,5,-99,-99,-99,19,26,102,-99,54,107,-99
2024-01-06,10,-99,13,-99,-99,-99,20,19,7,-99,3,114,7,-99,20,-99,25,-99,-99,25,21,-99,-99,-99,14,6,24,-99,-99,3,46,59,-99,6,66,-99
2024-01-06,11,-99,8,-99,61,-99,15,8,6,-99,5,38,5,-99,12,-99,10,-99,-99,16,22,-99,-99,-99,8,4,20,-99,-99,1,15,44,-99,7,31,-99
2024-01-06,12,-99,5,-99,15,-99,3,7,7,-99,3,16,4,-99,7,-99,3,-99,-99,8,9,-99,-99,-99,5,2,8,-99,-99,3,5,10,-99,3,13,-99
2024-01-06,13,-99,3,-99,2,-99,0,4,7,-99,3,9,4,-99,6,-99,3,-99,-99,7,2,-99,-99,-99,2,1,5,-99,-99,2,5,6,-99,4,7,-99
2024-01-06,14,-99,2,-99,1,-99,1,3,6,-99,3,2,5,-99,6,-99,2,-99,-99,7,2,-99,-99,-99,1,1,3,-99,-99,-99,6,2,-99,2,5,-99
2024-01-06,15,-99,1,-99,1,-99,0,2,4,-99,2,2,4,-99,5,-99,2,-99,-99,5,2,-99,-99,-99,0,2,2,-99,-99,1,4,5,-99,1,2,-99
2024-01-06,16,-99,1,-99,1,-99,0,1,4,-99,2,1,3,-99,2,-99,2,-99,-99,-99,2,-99,-99,-99,0,2,1,-99,-99,1,3,11,-99,1,2,-99
2024-01-06,17,-99,1,-99,1,-99,0,1,4,-99,3,2,3,-99,2,-99,2,-99,-99,4,2,-99,-99,-99,0,1,2,-99,-99,1,2,7,-99,1,2,-99
2024-01-06,18,-99,1,-99,2,-99,0,0,4,-99,2,3,3,-99,1,-99,2,-99,-99,0,2,-99,-99,-99,0,1,3,-99,-99,1,4,8,-99,0,2,-99
2024-01-06,19,-99,0,-99,2,-99,0,0,4,-99,3,5,4,-99,0,-99,1,-99,-99,13,2,-99,-99,-99,0,1,5,-99,-99,2,4,3,-99,1,4,-99
2024-01-06,20,-99,0,-99,4,-99,3,0,5,-99,4,2,4,-99,1,-99,1,-99,-99,19,4,-99,-99,-99,0,1,6,-99,-99,5,5,7,-99,2,6,-99
